"Post ID",Restaurant URL,Restaurant,Address,Token,"Takeover Link",Expires,Status,Email_1,Email_2,Email_3
1583,https://byobmap.com/byob-restaurant/olea/,Olea,"232 Arch St, Philadelphia, PA 19106",OxNLwjE3OjGZzrmyLz72A5tz7lX4gJcW,https://byobmap.com/takeover-restaurant?token=OxNLwjE3OjGZzrmyLz72A5tz7lX4gJcW,"2025-12-18 07:06:28","✅ generated",luis.oleaphilly@gmail.com
1584,https://byobmap.com/byob-restaurant/paffuto/,Paffuto,"1009 S 8th St, Philadelphia, PA 19147",54oVDnNRhDjOXmmNviFFyRvzN2b6euZC,https://byobmap.com/takeover-restaurant?token=54oVDnNRhDjOXmmNviFFyRvzN2b6euZC,"2025-12-18 07:06:28","✅ generated",paffutophl@gmail.com
1585,https://byobmap.com/byob-restaurant/pera-turkish-cuisine/,"Pera Turkish Cuisine","944 N 2nd St, Philadelphia, PA 19123",kB6r2TeceFxFBSzL5VWaMgzDQz5W6God,https://byobmap.com/takeover-restaurant?token=kB6r2TeceFxFBSzL5VWaMgzDQz5W6God,"2025-12-18 07:06:28","✅ generated",peraphiladelphia@gmail.com
1589,https://byobmap.com/byob-restaurant/stina/,Stina,"1705 Snyder Ave, Philadelphia, PA 19145",Mn8yLzt4YV98WwQDmanhPDs8Ylg4a9M7,https://byobmap.com/takeover-restaurant?token=Mn8yLzt4YV98WwQDmanhPDs8Ylg4a9M7,"2025-12-18 07:06:28","✅ generated",stinapizzeria@gmail.com
1591,https://byobmap.com/byob-restaurant/thai-square-restaurant/,"Thai Square Restaurant","2521 Christian St, Philadelphia, PA 19146",aqDKPGzEskMMBsDVOv5uAsZPQ1YfGxGe,https://byobmap.com/takeover-restaurant?token=aqDKPGzEskMMBsDVOv5uAsZPQ1YfGxGe,"2025-12-18 07:06:28","✅ generated",thaisquarephilly@gmail.com
1592,https://byobmap.com/byob-restaurant/trattoria-carina/,"Trattoria Carina","2201 Spruce St, Philadelphia, PA 19103",7PkGqoBLVPkGUskvguEAx5v3bpi8odnn,https://byobmap.com/takeover-restaurant?token=7PkGqoBLVPkGUskvguEAx5v3bpi8odnn,"2025-12-18 07:06:28","✅ generated"info@trattoriacarina.com
1732,https://byobmap.com/byob-restaurant/gnocchi-restaurant/,"Gnocchi Restaurant","613 E Passyunk Ave, Philadelphia, PA 19147",kjRuuMgsVXYCcPl9nDwYL7SLTzs8VTbl,https://byobmap.com/takeover-restaurant?token=kjRuuMgsVXYCcPl9nDwYL7SLTzs8VTbl,"2025-12-18 07:06:28","✅ generated",team@latofonts.com,impallari@gmail.com
1736,https://byobmap.com/byob-restaurant/kanella/,Kanella,"1001 Spruce St, Philadelphia, PA 19107",h4MHts8oEkfk6unJGEmu3NrTJ0D23RMB,https://byobmap.com/takeover-restaurant?token=h4MHts8oEkfk6unJGEmu3NrTJ0D23RMB,"2025-12-18 07:06:28","✅ generated",info@kanellarestaurant.comculinaryking@hotmail.com
1738,https://byobmap.com/byob-restaurant/la-fontana-della-citta/,"La Fontana Della Citta","1701 Spruce St, Philadelphia, PA 19103",uSyNV4tvcLguxEXSAIogg9E65VwGA9MZ,https://byobmap.com/takeover-restaurant?token=uSyNV4tvcLguxEXSAIogg9E65VwGA9MZ,"2025-12-18 07:06:28","✅ generated",sdaku@dakugroupllc.net
1740,https://byobmap.com/byob-restaurant/la-trattoria/,"La Trattoria","7131 Germantown Ave, Philadelphia, PA 19119",m424Wju5uLF3yZJHeLVocdHxb2UpuJcd,https://byobmap.com/takeover-restaurant?token=m424Wju5uLF3yZJHeLVocdHxb2UpuJcd,"2025-12-18 07:06:28","✅ generated",moma.trattoria@gmail.com,hello@trattoriamoma.com,hello@latrattoriamtairy.com
1741,https://byobmap.com/byob-restaurant/los-gallos/,"Los Gallos","951 Wolf St, Philadelphia, PA 19148",j2rmaOjcolOvf3ghlH7D6k0f0S4S5Put,https://byobmap.com/takeover-restaurant?token=j2rmaOjcolOvf3ghlH7D6k0f0S4S5Put,"2025-12-18 07:06:28","✅ generated",taquerialosgallos@hotmail.com
1743,https://byobmap.com/byob-restaurant/osteria-ama-philly/,"Osteria Ama Philly","1905 Chestnut St, Philadelphia, PA 19103",dVw1Vqh7vFBZyOZZdVnSMrKEKjl5ndRS,https://byobmap.com/takeover-restaurant?token=dVw1Vqh7vFBZyOZZdVnSMrKEKjl5ndRS,"2025-12-18 07:06:28","✅ generated",info@osteriaamaphilly.com
1744,https://byobmap.com/byob-restaurant/pizza-richmond/,"Pizza Richmond","3136 Richmond St, Philadelphia, PA 19134",BX0NRSqok7zU1V7DWfAhiGPsJeQUDY5c,https://byobmap.com/takeover-restaurant?token=BX0NRSqok7zU1V7DWfAhiGPsJeQUDY5c,"2025-12-18 07:06:28","✅ generated",pizza@pizzarichmond.com
1746,https://byobmap.com/byob-restaurant/tabachoy/,Tabachoy,"932 S 10th St, Philadelphia, PA 19147",jhM9xWyhXhat66NJdV402YN2kARSpDLv,https://byobmap.com/takeover-restaurant?token=jhM9xWyhXhat66NJdV402YN2kARSpDLv,"2025-12-18 07:06:28","✅ generated",chance@tabachoyphilly.com,tabachoyphilly@gmail.com
1754,https://byobmap.com/byob-restaurant/chateau-rouge/,"Chateau Rouge","2108 South St, Philadelphia, PA 19146",BFRt92r1o57Aca14WDGLivzwfhoY3LAQ,https://byobmap.com/takeover-restaurant?token=BFRt92r1o57Aca14WDGLivzwfhoY3LAQ,"2025-12-18 07:06:28","✅ generated"hello@chateaurougephilly.com
1755,https://byobmap.com/byob-restaurant/babys-kusina-market/,"Baby's Kusina + Market","2816 W Girard Ave, Philadelphia, PA 19130",mhu4HBY7SpVZc64R3ebQZA1AV2xiWTRu,https://byobmap.com/takeover-restaurant?token=mhu4HBY7SpVZc64R3ebQZA1AV2xiWTRu,"2025-12-18 07:06:28","✅ generated",info@babysphl.com
1756,https://byobmap.com/byob-restaurant/yuhiro-omakase-sushi/,"Yuhiro Omakase Sushi","2146 E Susquehanna Ave, Philadelphia, PA 19125",fbkFhYC2YhKl3IAFG4xf61qpZfXG22qn,https://byobmap.com/takeover-restaurant?token=fbkFhYC2YhKl3IAFG4xf61qpZfXG22qn,"2025-12-18 07:06:28","✅ generated",yuhirosushi@gmail.com
1757,https://byobmap.com/byob-restaurant/mabu-kitchen/,"Mabu Kitchen","1120 Pine St, Philadelphia, PA 19107",fNWzZtoKEMoq4PvN5rbMLeWDKyS5fzhy,https://byobmap.com/takeover-restaurant?token=fNWzZtoKEMoq4PvN5rbMLeWDKyS5fzhy,"2025-12-18 07:06:28","✅ generated",mabukitchenmanager@outlook.com
