id,Title,philly_restaurant_type,philly_restaurant_type_other_note,philly_corkage_fee,corkage_fee_amount,other_corkage_policy,wine_service_equipment,philly_equipment_other_note,byob_service_level
1735,"Heavy Metal Sausage","a:2:{i:0;s:7:""Italian"";i:1;s:5:""other"";}",Sandwiches,": -- 請選擇 --",,,,,": -- 請選擇 --"
1736,Kanella,"a:2:{i:0;s:13:""Mediterranean"";i:1;s:5:""other"";}","Middle Eastern",free,,,,,": -- 請選擇 --"
1737,"La Canasta Mexican Food","a:1:{i:0;s:7:""Mexican"";}",,free,,,,,": -- 請選擇 --"
1738,"La Fontana Della Citta","a:1:{i:0;s:7:""Italian"";}",,free,,,,,": -- 請選擇 --"
1739,"La Sera Italiana BYOB","a:2:{i:0;s:7:""Italian"";i:1;s:5:""other"";}","Salad, Burgers",free,,,,,": -- 請選擇 --"
1740,"La Trattoria","a:1:{i:0;s:7:""Italian"";}",,free,,,,,": -- 請選擇 --"
1741,"Los Gallos","a:1:{i:0;s:7:""Mexican"";}",,free,,,,,": -- 請選擇 --"
1742,"México Lindo Y Que Rico Restaurant","a:1:{i:0;s:7:""Mexican"";}",,free,,,,,": -- 請選擇 --"
1743,"Osteria Ama Philly","a:3:{i:0;s:7:""Italian"";i:1;s:7:""Seafood"";i:2;s:5:""other"";}",Pizza,free,,,,,": -- 請選擇 --"
1744,"Pizza Richmond","a:1:{i:0;s:5:""other"";}",Pizza,free,,,,,": -- 請選擇 --"
1745,"Sakana Omakase Sushi","a:2:{i:0;s:8:""Japanese"";i:1;s:5:""other"";}","Sushi Bars",free,,,,,": -- 請選擇 --"
1746,Tabachoy,"a:2:{i:0;s:5:""Asian"";i:1;s:5:""other"";}",Filipino,free,,,,,": -- 請選擇 --"
1747,"Tacconelli's Pizza","a:2:{i:0;s:7:""Italian"";i:1;s:5:""other"";}",Pizza,free,,,,,": -- 請選擇 --"
1748,"Tonalli Philly","a:1:{i:0;s:5:""other"";}","Pizza, Tacos",free,,,,,": -- 請選擇 --"
1749,"Umai Umai","a:2:{i:0;s:8:""Japanese"";i:1;s:5:""other"";}","Sushi Bars",free,,,,,": -- 請選擇 --"
1750,Winkel,"a:1:{i:0;s:5:""other"";}","Breakfast & Brunch, Coffee & Tea, Sandwiches",free,,,,,": -- 請選擇 --"
1754,"Chateau Rouge","a:2:{i:0;s:6:""French"";i:1;s:5:""other"";}",African,other,,"$10 per table",,,": -- 請選擇 --"
1755,"Baby's Kusina + Market","a:1:{i:0;s:5:""other"";}","Pop-Up Restaurants",free,,,,,": -- 請選擇 --"
1756,"Yuhiro Omakase Sushi","a:2:{i:0;s:8:""Japanese"";i:1;s:5:""other"";}","Sushi Bars, Wine Bars",free,,,,,": -- 請選擇 --"
1757,"Mabu Kitchen","a:2:{i:0;s:6:""French"";i:1;s:5:""other"";}","Breakfast & Brunch, Comfort Food",free,,,,,": -- 請選擇 --"
